flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;NAZWA;NIEPEWNE;1.061;61;5907636994602;7041165;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;11.90;23%;113;GV-59;Końska Maść Chłodząca 130 ml;publish;15.00;standard;23%;12.20;+0.30;+2.5%;14.64;+0.36;T
;NAZWA;NIEPEWNE;0.767;36;5907636994053;8118501;CYNK + WIT. B6 12 MG X 30 TAB.;15.10;8%;45;GV-44;Cynk + witamina B6 30 tabletek;publish;16.00;reduced-rate;8%;14.81;-0.29;-1.9%;16.31;-0.31;T
;NAZWA;NIEPEWNE;1.131;111;5907636994176;8904002;ZIELONY JĘCZMIEŃ X 120 KAPS.;34.90;8%;87;GV-83;Zielony Jęczmień 120 kapsułek;publish;38.00;reduced-rate;8%;35.19;+0.29;+0.8%;37.69;+0.31;T
;EAN;PEWNE;1.0;46;5903317643333;4070741;KARCZOCH OSTROPEST X 60 KAPS.;22.50;8%;2068;5903317643333;Karczoch Ostropest x60 kaps.;publish;24.00;reduced-rate;8%;22.22;-0.28;-1.2%;24.30;-0.30;T
;NAZWA;NIEPEWNE;1.128;16;5907636994749;8903901;BABKA PŁESZNIK X 60 KAPS.;22.50;8%;19;GV-35;Babka Płesznik 60 kapsułek;publish;24.00;reduced-rate;8%;22.22;-0.28;-1.2%;24.30;-0.30;T
;NAZWA;NIEPEWNE;0.834;10;5907636994350;7038463;ARTRO ŻEL 100 ML;16.80;23%;99;GV-32;ArtroŻel 100 ml;publish;21.00;standard;23%;17.07;+0.27;+1.6%;20.66;+0.34;T
;EAN;PEWNE;1.0;48;5907636994251;7037733;KOŃSKI BALSAM 250 ML;16.00;23%;103;5907636994251;Balsam Koński 250 ml;publish;20.00;standard;23%;16.26;+0.26;+1.6%;19.68;+0.32;T
;EAN;PEWNE;1.0;75;5903317643234;7091956;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 100ML;9.50;23%;177;5903317643234;Mosqitos 100ml;publish;12.00;standard;23%;9.76;+0.26;+2.7%;11.69;+0.31;T
;NAZWA;NIEPEWNE;0.946;96;5907636994909;7051791;PUDER RODZINNY PIELĘGNUJĄCY 50 ML;10.00;23%;193;GV-74;Puder Rodzinny Pielęgnacyjny 50 ml;publish;12.00;standard;23%;9.76;-0.24;-2.4%;12.30;-0.30;T
;NAZWA;NIEPEWNE;1.15;94;5907636994206;7035600;PNEUMOVIT SPRAY DO NOSA 35 ML;15.50;8%;232;GV-72;Pneumovit Spray do nosa 35 ml;publish;17.00;reduced-rate;8%;15.74;+0.24;+1.6%;16.74;+0.26;T
