# plan_cen (STAGING) — Etap 2, WYŁĄCZNIE PLAN. Klucz: SKU (EAN-13). Kolejność: DO_IMPORTU, BLOKADA, BRAK_EAN, WYKLUCZONE, BEZ_ZMIAN
sku;wc_id;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;metoda;netto_cennik;vat_cennik;klasa_wc;vat_wc;brutto_docelowy;brutto_obecny;delta_brutto;sale_price;decyzja;powod
;;;19;BLIZNA MAŚĆ NA BLIZNY 20 ML;5903317643272;;20.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;20;CALCIUM NATURAL 60 KAPS;5903317643012;;15.90;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;30;CITROGREFT x60 kaps.;5907636994978;;24.90;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;36;CYNK + WIT. B6 12 MG X 30 TAB.;5907636994053;;15.10;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;42;GERIAFIX X 60 KAPS.;5907636994848;;40.20;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;45;JARMUŻ x60 kaps.;5907636994954;;22.10;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;49;KUDZU ROOT X 60 KAPS.;5907636994299;;26.10;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;51;LIBIDO VEGAN X 60 KAPS.;5903317643319;;39.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;52;LUTEINA VEGAN X 60 KAPS.;5903317643326;;20.90;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;54;MAGNEZ B6 + CYNK x60 KAPS.;5907636994039;;11.10;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;55;MAGNEZ B6 VEGAN X 60 KAPS.;5903317643296;;12.70;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;56;MAŚĆ ARNIKOWA 130ML;5907636994886;;18.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;57;MAŚĆ BOROWINOWA 130ML;5907636994626;;18.70;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;58;MAŚĆ DLA SPORTOWCÓW 150ML;5907636994442;;18.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;60;MAŚĆ KONOPNA 80 ml;5903317643135;;21.90;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;68;MAŚĆ RUMIANKOWA 80ML;5903317643265;;11.30;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;73;MAŚĆ Z ŻYWORÓDKI 130ML;5907636994657;;19.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;78;MAŚĆ ŻYWOKOSTOWA Z OLEJEM CBD 140ml;5903317643197;;20.10;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;79;OLEJ CBD W KAPSUŁKACH x60 KAPS.;5903317643203;;64.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;82;OLEK Z KONOPI 10% 10ml;5903317643111;;154.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;83;OLEK Z KONOPI 10% 20ml;5903317643128;;296.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;84;OLEK Z KONOPI 5% 10ml;5903317643098;;85.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;85;OLEK Z KONOPI 5% 20ml;5903317643104;;164.00;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;88;PANTHENOL PIANKA 100ML;5907636994688;;13.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;90;PNEUMOVIT BABY SPRAY 35ML;5907636994770;;16.10;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;95;PNEUMOVIT ZATOKI 50ML;5907636994787;;16.20;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;96;PUDER RODZINNY PIELĘGNUJĄCY 50 ML;5907636994909;;10.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;97;RABKA SPA MINERALE SPRAY 215 ML;5907636994305;;15.60;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;99;RESVERATROL x60 kaps.;5907636994961;;40.40;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;100;ROKITNIK I ACEROLA x60 kaps.;5907636994138;;23.90;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;103;SPIRULINA x60 kaps.;5907636994947;;18.20;8%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;114;ŻEL KASZTANOWY Z RUTYNĄ 200ML;5907636994619;;19.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;119;ŻEL Z KASZTAN. MIŁORZĘBEM I BABKĄ LANCET. 200 ML;5907636994480;;19.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;121;ŻEL Z ŻYWOK. I BOSWELLIĄ 200 ML;5907636994473;;19.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;122;ŻEL Z ŻYWOKOSTEM 200 ML;5907636994459;;18.50;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;123;ŻEL ZE ŚWIETLIKIEM I KOLAGENEM POD OCZY 20ML;5907636994640;;12.60;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;124;ŻEL ŻYWOKOSTOWY Z JAŁOWCEM I MSM 200ML;5907636994435;;19.00;23%;;;;;;;BRAK_EAN;brak produktu o SKU = EAN z cennika — cena nie zostanie zaimportowana
;;;27;CHROM Z ZIELONĄ HERBATĄ X 30 TAB.;5907636994046;;16.90;8%;;;;;;;WYKLUCZONE;WYKLUCZONE: wariant Chromu nierozstrzygnięty (30 TAB — brak produktu w WC)
