# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
8594011210111;39;8594011210111;Colafit 60 kostek;32;COLAFIT KOLAGEN 99,9% X 60 KOSTEK;8594011210111;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643289;1551;5903317643289;Collagen Vegan;35;COLLAGEN VEGAN BEAUTY X 60 KAPS.;5903317643289;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994992;2050;5907636994992;Czystek x60 kaps.;37;CZYSTEK X60 KAPS.;5907636994992;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994589;47;5907636994589;Energia;39;ENERGIA x30 kaps;5907636994589;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994404;55;5907636994404;GOTU KOLA x60 kapsułek;43;GOTU KOLA;5907636994404;1.000;;EAN;POMIŃ;PODCIAG;REGUŁA PODCIĄGU: nazwa z cennika zawiera się w innej pozycji cennika
5903317643333;2068;5903317643333;Karczoch Ostropest x60 kaps.;46;KARCZOCH OSTROPEST X 60 KAPS.;5903317643333;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994114;2052;5907636994114;Koenzym Q10 30mg z Magnezem x30 kaps.;47;KOENZYM Q10 30 MG Z MAGNEZEM X 30 KAPS.;5907636994114;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994251;103;5907636994251;Balsam Koński 250 ml;48;KOŃSKI BALSAM 250 ML;5907636994251;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994985;2053;5907636994985;Kwas Hialuronowy x60 kaps.;50;KWAS HIALURONOWY x60 KAPS.;5907636994985;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643210;2054;5903317643210;Magnez B6 + Ashwagandha x60 kaps.;53;MAGNEZ B6 + ASHWAGANDHA x60 KAPS.;5903317643210;1.000;;EAN;POMIŃ;PODCIAG;REGUŁA PODCIĄGU: nazwa z cennika zawiera się w innej pozycji cennika
